bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
867,1009,서빙고,경원선,126.988537,37.519594
869,0,,,,
870,0,,,,
900,0,,,,
901,0,,,,
902,0,,,,
903,0,,,,
904,0,,,,
905,310,구파발,3호선,126.918821,37.636763
906,0,,,,
907,2611,응암,6호선,126.915577,37.598605
908,0,,,,
909,0,,,,
911,2612,역촌,6호선,126.922744,37.606021
912,0,,,,
913,0,,,,
914,2617,새절,6호선,126.913629,37.591148
915,2618,증산,6호선,126.909645,37.583876
916,0,,,,
917,313,녹번,3호선,126.935756,37.600927
919,0,,,,
921,0,,,,
922,0,,,,
923,0,,,,
924,0,,,,
925,312,불광,3호선,126.92982,37.610553
927,0,,,,
928,0,,,,
930,0,,,,
931,0,,,,
932,0,,,,
933,0,,,,
934,0,,,,
937,0,,,,
938,0,,,,
939,0,,,,
941,0,,,,
